year_of_death,month_of_death,death_tolls
2017,January,9
2017,February,11
2017,March,7
2017,April,8
2017,May,7
2017,June,8
2017,July,13
2017,August,6
2017,September,11
2017,October,6
2017,November,8
2017,December,7
2018,January,9
2018,February,11
2018,March,4
2018,April,6
2018,May,9
2018,June,9
2018,July,9
2018,August,14
2018,September,8
2018,October,8
2018,November,6
2018,December,1
2019,January,15
2019,February,8
2019,March,7
2019,April,14
2019,May,10
2019,June,7
2019,July,15
2019,August,9
2019,September,5
2019,October,14
2019,November,12
2019,December,11
2020,January,11
2020,February,11
2020,March,7
2020,April,10
2020,May,16
2020,June,9
2020,July,15
2020,August,13
2020,September,8
2020,October,10
2020,November,15
2020,December,20
2021,January,20
2021,February,15
2021,March,15
2021,April,11
2021,May,23
2021,June,13
2021,July,16
2021,August,24
2021,September,18
2021,October,24
2021,November,26
2021,December,14
2022,January,24
2022,February,11
2022,March,11
2022,April,15
2022,May,23
2022,June,12
2022,July,19
2022,August,13
2022,September,14
2022,October,10
2022,November,18
2022,December,19
2023,January,18
2023,February,13
2023,March,13
2023,April,8
2023,May,14
2023,June,13
